"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10950","SC-001: Успешное создание товара (имя 40 символов)","sales-portal-api","Wed Dec 17 21:53:43 UTC 2025","passed","Wed Dec 17 21:53:54 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","1862","Delete Customer with invalid ID via API","sales-portal-api","Wed Dec 17 21:52:06 UTC 2025","passed","Wed Dec 17 21:52:08 UTC 2025","[API] [Sales Portal] [Customers] [Delete]","","",""
"","11018","SC-001: Успешное создание товара (amount = 0)","sales-portal-api","Wed Dec 17 21:54:00 UTC 2025","passed","Wed Dec 17 21:54:11 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","206","SC-008: Фильтр по одному производителю","sales-portal-api","Wed Dec 17 21:55:13 UTC 2025","broken","Wed Dec 17 21:55:14 UTC 2025","[API][Sales Portal][Products][Positive] Get All Products","","",""
"","9988","SC-002: Создание товара без notes","sales-portal-api","Wed Dec 17 21:54:11 UTC 2025","passed","Wed Dec 17 21:54:21 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","16076","Edit Delivery Details for Order","sales-portal-api","Wed Dec 17 21:53:02 UTC 2025","passed","Wed Dec 17 21:53:18 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details]","","",""
"","11972","SC-010: Поиск товара по названию","sales-portal-api","Wed Dec 17 21:54:45 UTC 2025","passed","Wed Dec 17 21:54:57 UTC 2025","[API] [Sales Portal] [Products] Get Sorted > Search","","",""
"","5992","SC-003: Ошибка валидации name (спецсимволы)","sales-portal-api","Wed Dec 17 21:54:16 UTC 2025","passed","Wed Dec 17 21:54:22 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","1918","Get All Customers with incorrect Token via API","sales-portal-api","Wed Dec 17 21:52:09 UTC 2025","passed","Wed Dec 17 21:52:11 UTC 2025","[API] [Sales Portal] [Customers] [GetAll]","","",""
"","7681","SC-019: Частичное обновление (только цена)","sales-portal-api","Wed Dec 17 21:55:26 UTC 2025","passed","Wed Dec 17 21:55:34 UTC 2025","[API] [Sales Portal] [Products] [Update]","","",""
"","3973","SC-005: Ошибка валидации price (отрицательное значение)","sales-portal-api","Wed Dec 17 21:54:24 UTC 2025","passed","Wed Dec 17 21:54:28 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","2","[API] [Sales Portal] [Customers] [Get Sorted]","sales-portal-api","Wed Dec 17 21:52:16 UTC 2025","skipped","Wed Dec 17 21:52:16 UTC 2025","","","",""
"","20917","SC-055: Create order with multiple products","sales-portal-api","Wed Dec 17 21:52:25 UTC 2025","passed","Wed Dec 17 21:52:46 UTC 2025","[API] [Sales Portal] [Orders] [Create - Positive checks]","","",""
"","705","SC-005: Отрицательные числа в amount и price","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] [Create]","","",""
"","956","SC-048: Обновление несуществующего клиента","sales-portal-api","Wed Dec 17 21:52:19 UTC 2025","passed","Wed Dec 17 21:52:20 UTC 2025","[API] [Sales Portal] [Update customer]","","",""
"","4939","Add empty comment to Order","sales-portal-api","Wed Dec 17 21:52:21 UTC 2025","passed","Wed Dec 17 21:52:25 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","2731","SC-002: Создание товара без опционального поля notes","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:33 UTC 2025","[API] [Sales Portal] [Products] [Create]","","",""
"","2960","SC-017: Invalid product ID format (literal undefined)","sales-portal-api","Wed Dec 17 21:54:42 UTC 2025","passed","Wed Dec 17 21:54:45 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","4055","SC-049: Конфликт при обновлении email","sales-portal-api","Wed Dec 17 21:52:19 UTC 2025","passed","Wed Dec 17 21:52:24 UTC 2025","[API] [Sales Portal] [Update customer]","","",""
"","1138","SC-017: Invalid product ID format (too short)","sales-portal-api","Wed Dec 17 21:54:39 UTC 2025","passed","Wed Dec 17 21:54:41 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","2290","SC-016: Receiving a non-existent product","sales-portal-api","Wed Dec 17 21:54:38 UTC 2025","passed","Wed Dec 17 21:54:41 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","1085","SC-017: Invalid product ID format (non-hex characters)","sales-portal-api","Wed Dec 17 21:54:41 UTC 2025","passed","Wed Dec 17 21:54:42 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","1899","Get All Customers without Token via API","sales-portal-api","Wed Dec 17 21:52:09 UTC 2025","passed","Wed Dec 17 21:52:11 UTC 2025","[API] [Sales Portal] [Customers] [GetAll]","","",""
